,Dy_est_MW873,Dy_est_MW875,Dy_est_MW876,Dy_model_MW873,Dy_model_MW875,Dy_model_MW876
Q873 −30A,4.8264643396170674,2.632204753880236,1.929665311910739,0.01837524427,0.02268728573,0.0234046899
Q873 −24A,5.836711942570315,4.068928200451402,3.6242408195881826,0.01837524427,0.0198206975,0.02011634368
Q873 −18A,5.702721321154282,3.0624708953068396,2.4973614610096617,0.01837524427,0.01698019956,0.01685811636
Q873 −12A,5.910991660726487,2.705589914552493,2.1347308594524175,0.01837524427,0.01416531046,0.01362945451
Q873 −6A,0.0,0.0,0.0,0.01837524427,0.01137592078,0.0104302315
Q873 Baseline,4.50612893873382,0.0,0.0,0.01837524427,0.008611921382,0.007260321048
Q873 +6A,4.381322818898993,5.531737565160772,0.0,0.01837524427,0.005873203465,0.004119597211
Q873 +12A,5.674101711374212,0.34398618194994734,1.1824491685547551,0.01837524427,0.003159658508,0.001007934404
Q873 +18A,5.030139981854566,1.1036092852247172,-1.9493251627493613,0.01837524427,0.0004711782916,-0.002074792615
Q873 +24A,6.585320418351988,-2.0440599790285283,-3.1317142155171096,0.01837524427,-0.002192345102,-0.005128708741
Q873 +30A,5.212159934549735,-2.616803773225149,-3.461094476514655,0.01837524427,-0.004831358387,-0.00815432728
