,MW873,MW875,MW876
Q873 −30A,3.409138228,13.82218027,10.55918762
Q873 −24A,3.409138228,12.75761371,9.542006108
Q873 −18A,3.409138228,11.74874719,8.594317643
Q873 −12A,3.409138228,10.79420266,7.714330344
Q873 −6A,3.409138228,9.892760347,6.900412036
Q873 Baseline,3.409138228,9.043217495,6.150954148
Q873 +6A,3.409138228,8.244388211,5.46437147
Q873 +12A,3.409138228,7.49510329,4.839101926
Q873 +18A,3.409138228,6.794210052,4.273606332
Q873 +24A,3.409138228,6.140572179,3.766368167
Q873 +30A,3.409138228,5.532994041,3.315838783
