,epsx_95_geom [π·mm·mrad],epsx_95_geom_std [π·mm·mrad],epsy_95_geom [π·mm·mrad],epsy_95_geom_std [π·mm·mrad]
Q875 − 35A,2.5017908941565117,0.2990254497433096,1.6707679562023285,0.027403720425213034
Q875 − 28A,2.4649319123771845,0.3876475535953196,1.7007826465573512,0.030727717325506877
Q875 − 21A,2.895737699257027,0.040118350285357186,1.726298618048997,0.02856961552001031
Q875 − 14A,2.55133518695015,0.2828582729009959,1.7198388997747243,0.022216637716969318
Q875 − 7A,2.6743938812996757,0.10969008279407338,1.7263162583768399,0.01875673666769948
Q875 Baseline,2.5219101905573407,0.07924928657124855,1.6865922780492328,0.04128444429451158
Q875 + 7A,2.6565969695065053,0.8464570084763431,1.7077214835778114,0.030136831405032788
Q875 + 14A,2.898965362127159,0.2164861843582337,1.7438760054026083,0.024678874490842637
Q875 + 21A,2.6379600837974455,0.04011327650394289,1.7220237370949567,0.027506117257399158
Q875 + 28A,2.837890393797053,0.21100656448133034,1.7209773104093022,0.025295006958752905
