,epsx_95_geom [π·mm·mrad],epsx_95_geom_std [π·mm·mrad],epsy_95_geom [π·mm·mrad],epsy_95_geom_std [π·mm·mrad]
Q873 −30A,2.5844228397049536,1.0684615503463495,2.195691573704873,0.12098159207570411
Q873 −24A,2.5101715740400503,0.48990171947077676,2.0060630524102,0.14808907274577623
Q873 −18A,2.692684379590171,0.6110141180196984,2.017326405122527,0.1013089727066334
Q873 −12A,2.501110073163008,0.4664624192583157,1.8671375616818813,0.07358804670315658
Q873 −6A,2.1468700256833415,5.188017615678091,1.8151835715602334,0.03164459813838573
Q873 Baseline,2.5251575299941686,1.1293869590467929,1.6718913918764693,0.025315678327863193
Q873 +6A,2.7872045459091015,1.2229546546275902,0.0,5.691647851754672
Q873 +12A,2.8595929115290044,0.6259670165220375,1.539563747708835,0.22862838909596636
Q873 +18A,2.9253161768609974,0.9593634943422407,1.5558381088009732,0.020027854438079782
Q873 +24A,2.905419557233713,0.14668734562948094,1.5710445552035783,0.021812557732617515
Q873 +30A,2.865583527329267,0.8653206513802978,1.5534810150083176,0.12272794555127428
