,sigma_delta_x [rms],sigma_delta_x_std,sigma_delta_y [rms],sigma_delta_y_std
Q873 −30A,0.0004550707736037506,0.00018496308441478127,0.0,
Q873 −24A,0.00035990890420776713,0.00010306797193808119,0.0,
Q873 −18A,0.00040688605784280126,0.00011009683431690466,0.0,
Q873 −12A,0.00036291620504193815,9.179896770764132e-05,0.0,
Q873 −6A,0.000241260953274522,0.001503656926237689,0.0,
Q873 Baseline,0.0005648253851821343,0.0001374524120682055,0.0,
Q873 +6A,0.0002216764753372443,0.000374075978281446,1.135024943603165,0.2773485826407706
Q873 +12A,0.00036129630631215434,0.0001161954847372206,0.0,
Q873 +18A,0.00035410064690026945,0.00018011809169023234,0.0,
Q873 +24A,0.0003526949069096088,2.745885398818522e-05,0.0,
Q873 +30A,0.0003391914466026116,0.00016751446977170814,0.0,
